MIN,TOV,RANK,REB,PLAYER_ID,FG3A,AST,FG3M,OREB,FGM,TEAM,PTS,FGA,GP,STL,FTA,PLAYER,BLK,DREB,FTM,EFF,FT_PCT,FG_PCT,FG3_PCT
22.8,1.13,85,7.1,2200,1.1,1.9,0.4,2.4,3.1,SAS,7.7,7.1,16,0.44,1.5,Pau Gasol,0.94,4.7,1.1,12.6,0.708,0.439,0.333
26.5,1.17,86,2.0,203521,2.7,2.0,1.0,0.2,2.7,MIL,7.7,6.8,6,0.17,1.7,Matthew Dellavedova,0.0,1.8,1.3,6.2,0.8,0.39,0.375
32.0,0.43,87,4.9,201601,2.3,1.0,0.7,1.4,2.4,LAC,7.6,6.1,7,1.14,2.9,Luc Mbah a Moute,0.57,3.4,2.0,10.1,0.7,0.395,0.313
20.5,0.36,88,5.5,202324,0.0,0.9,0.0,1.4,3.3,UTA,7.5,5.6,11,0.73,2.1,Derrick Favors,0.55,4.1,1.0,11.4,0.478,0.581,0.0
14.8,0.54,89,1.5,101123,3.5,0.7,1.6,0.2,2.6,BOS,7.5,5.5,13,0.23,0.7,Gerald Green,0.08,1.4,0.6,6.5,0.889,0.472,0.467
19.7,0.67,90,3.3,203210,2.7,0.3,1.2,0.5,2.8,MEM,7.3,6.0,6,0.0,0.5,JaMychal Green,0.0,2.8,0.5,7.2,1.0,0.472,0.438
22.7,1.17,90,3.5,1627835,2.7,0.5,1.0,0.5,2.5,CHI,7.3,5.5,6,0.17,1.3,Paul Zipser,0.17,3.0,1.3,7.5,1.0,0.455,0.375
20.5,0.5,92,2.0,101139,4.0,0.3,1.3,1.0,2.8,IND,7.3,6.0,4,0.5,0.5,CJ Miles,0.25,1.0,0.5,6.5,1.0,0.458,0.313
14.8,1.0,92,3.5,202338,0.0,1.0,0.0,2.0,3.0,IND,7.3,6.5,4,0.0,1.8,Kevin Seraphin,0.5,1.5,1.3,7.3,0.714,0.462,0.0
24.8,0.25,92,3.3,203090,3.0,0.8,0.5,1.8,2.5,POR,7.3,8.5,4,1.25,2.0,Maurice Harkless,1.25,1.5,1.8,7.3,0.875,0.294,0.167
